Index,Reviewer Name,Title,Colour Name,Rating,Review Location,Review Date,Review Text,Sentiment
0,Shu,True Value,Yellow,5,Canada ,19-Feb-24,"The mini sofa is great, big enough to fit my large cat. Adorable and soft.The only thing is the colour is lighter than what was expected. But overall my cat likes it, and it's his favourite spot to take a nap now.",Positive
1,Rebecca Baker,Elderly cat loves it!,Green,5,Canada ,22-May-24,"I bought this in the hopes that one of my older cats, Steven, would lay on it as he kept sneaking into my closet. We also got carpet over our living rooms laminate flooring so we needed something soft. He loves it. Easy to assemble as well. Hopefully it will last a while, so far we've had it for about a month.",Positive
2,CMac,Better than I expected!,Green,5,Canada ,08-Jun-24,I was so skeptical even after I read the reviews but wanted this so much for my smaller dog. I took a chance and my dog loves it.  Has to be put together (stuff the pillows in each compartment of the bed) and it takes no more than 10 minutes to open and put together. My 40 pound goldendoodle even loves it!,Positive
3,Cj,Better than I thought,Yellow,4,Canada ,04-Mar-24,"It's soft, taking apart for washing might be annoying but looks nice, could hold the shape a little better but my pets use it",Positive
4,MIKE,MY CAT LOVES IT,Green,5,Canada ,22-Jun-24,CAT WAS NOT SURE OF IT ON DAY ONE BUT ON DAY TWO HE WAS ALL OVER IT AND IS ON IT EVERY DAY NOW,Positive
5,Randi F.,Crappy couch,Blue,1,Canada ,27-Mar-24,"Not enough padding. Doesn't even sit up like a couch would because you have to stuff it with little pads for each section(arms, bottom, back)Not enough stuffing in padsBasically flatCats sits on it and it's flat the ground.Would not recommend would not buy againVery disappointed especially considering the price,  too expensive!!",Positive
6,RFMN,Stubborn Cat Approved,Pink,5,Canada ,23-May-24,"Like all cats she was more interested in the box. But after a quick wash on gentle cycle to get rid of all the extra fuzz it was no longer than 5 minutes before she climbed in, made dough, and went to sleep.Would recommend.",Positive
7,Charlie Singh,"Personally, I love it. But my cat doesnt use it lol",Green,5,Canada ,20-Jun-24,,Neutral
8,Coffee lover,She loves it,Blue,5,Canada ,14-May-24,My old girl loves it. The arms are great to rest her face. You can take the cover off to wash. The fluff does flatten with use but easy to fluff back up.,Positive
9,shevon,Perfect couch,White,5,Canada ,13-May-24,"Great size, great price and easy to assemble",Positive
10,Ariane,She loves it and it’s adorable,Pink,5,Canada ,28-Apr-24,"I got this for my pet chihuahua she instantly started playing on it. Though i dont care, the pillow at the bottom sinks in, but overall im am very pleased !",Positive
11,Chloe,My cat loves this so much she doesn’t want to leave her new couch!!,Blue,5,Canada ,04-Mar-24,My cat adores her new couch sooo much that she has spent the whole day and night sleeping on it 🤣 her new couch with her on it had to be carried upstairs because she didn’t want to get off it to sleep on a human bed. This is the bed of her dreams! I may have to order another later so she has another both up and downstairs. She is obsessed!! Update: I bought her the pink one too so she has pink and blue beds one upstairs one downstairs she loves them both!!,Positive
12,Lori,Cat bed,White,5,Canada ,20-Apr-24,I love there new bed will take sometime for then to get use to it will order another 👍,Positive
13,Kristina H.,Exactly as shown,Green,5,Canada ,05-Apr-24,"Easy to put together it took her a minute to warm up to it as cats deal with all things but now that she has, she loves it. It washes really easily put together really quickly as well. Sturdy and soft.",Positive
14,Ethan Horner,Not quite like in the picture,Green,3,Canada ,18-Feb-24,It was nice and soft but a bit smaller than expected. When I read it was for up to 25lb cat I thought my 2 cats could lie on it as they weight about 20 lbs combined but I dont think they can. It looks a bit firmer in the picture. As you can see by my pic the it isnt as firm looking as the ad. However Im sure we will get some use out of it but I think its overpriced. I think its worth half of the cost they charge.,Positive
15,Domenic,"If Colby loves it, any kitty can",Green,5,Canada ,31-Mar-24,"Colby’s pretty stubborn with what he’ll sleep on. He has 2 fave blankies, a carpet and that’s about it. This mini couch is so soft. It seemed it could be a task to get him to be into it but once he touched it he was pretty sold. Check him out!",Positive
16,Ryan,Happy purchase.,Yellow,5,Canada ,15-Apr-24,"All 3 of my cats plus my 29lb dog love this bed and ""fight"" over it!",Positive
17,Cat,Très satisfaite,Blue,4,Canada ,13-Feb-24,Mes chats aiment beaucoup,Neutral
18,R Klass,Good value for price,Pink,4,Canada ,15-Dec-23,"The interior pillows don’t fit well, so it’s a bit lumpy and uneven but my cat doesn’t seem to care. Can’t find anything similar for the price.",Positive
19,sara,My cat is obsessed,White,5,Canada ,29-Jan-24,My cat loves it! From the moment I put it down in my apartment he has been sleeping in it. I bought it because I wanted a comfortable place for him to sit nearby when I work from home and this was perfect!The design is also so adorable.Highly recommend!,Positive
20,cindy,Bit of a mess.,Blue,3,Canada ,28-Jan-24,"Cat likes it but honestly it looks messy. Sure doesn't look like the pic they posted but I guess as long as the cat uses it, it will do.",Positive
21,Anik,Divan a chat,Pink,5,Canada ,22-Mar-24,Il est super beau un beau petit divan ma chatte va laimer,Positive
22,E,Super cute! Might need two,Green,5,Canada ,04-Feb-24,"As expected, puffed up the cushions before assembling.  Not sure how long the stuffing will last but pretty easy to add more later on if needed.  Kitties both like it, for size reference, ginger cat 15 lbs, tabby cat 10 lbs.",Positive
23,Elika G,AMAZING,White,5,Canada ,17-Mar-24,My 18 year old cat absolutely loves it!! Ran to it right away 🤍🤍🤍,Positive
24,happy!,very happy kitty,White,5,Canada ,20-Mar-24,never seen my cat so eepy and happy,Positive
25,Amazon Customer,Amazing. My cat love it,Green,5,Canada ,12-Feb-24,"Bed was larger than expected. Incredibly soft and the cat absolutely love it. It's the cats favorite new napping place. I highly recommend this product, and so does my cat.",Positive
26,Mandy,Cat loves it,White,5,Canada ,22-Mar-24,Cat loves it,Positive
27,Lorne,Great Product,Blue,5,Canada ,10-Jan-24,"We weren't sure that our cat would use this like many other products we have purchased but she seemed to love it so we are really happy, I would recommend this to any other cat owner if you need a comfy place for them.",Positive
28,Shelley Coburn,Cassie loves it,Blue,5,Canada ,20-Mar-24,The media could not be loaded.I have 5 cats and they all take turns sleeping on it.,Neutral
29,Donna Gustafson,Princess couch,Pink,5,Canada ,23-Feb-24,It is exactly what I thought it would be. Pretty light pink Color and oh so soft!,Positive
30,Shawn Taylor,Awesome,Yellow,5,Canada ,07-Feb-24,Awesome little couch the cats are pushing one an other off cause all 4 love it need to get a couple more for sure,Positive
31,Samfontaine,Great!,Green,5,Canada ,26-Feb-24,Cat loves it. Put it by the heater and it’s great.,Positive
32,Jennifer W,Cats love it,Green,5,Canada ,18-Jan-24,"The cats love their new couch. They have trouble sharing, but I think that's between them, there should be room for them both on it. There is always someone sleeping on it.",Positive
33,Justin,Cat Couch,Green,5,Canada ,04-Mar-24,"Great Product, my cat loves it",Positive
34,David Carter,So cute,White,5,Canada ,18-Jan-24,"I bought this as a gift and the person I gave it to absolutely loves it, and says their cat does too!",Positive
35,Amazon Customer,Love!,White,5,Canada ,29-Jan-24,Absolutely perfect!! He hopped in instantly and hasn’t hopped out since. Absolutely perfect and super washable! A+++,Positive
