Reviewer Name,Title,Rating,Review Location,Review Date,Review Text,Colour Name
Shu,True Value,5.0,Canada ,2024-02-19,"The mini sofa is great, big enough to fit my large cat. Adorable and soft.The only thing is the colour is lighter than what was expected. But overall my cat likes it, and it's his favourite spot to take a nap now.",Yellow
Rebecca Baker,Elderly cat loves it!,5.0,Canada ,2024-02-20,"I bought this in the hopes that one of my older cats, Steven, would lay on it as he kept sneaking into my closet. We also got carpet over our living rooms laminate flooring so we needed something soft. He loves it. Easy to assemble as well. Hopefully it will last a while, so far we've had it for about a month.",Green
CMac,Better than I expected!,5.0,Canada ,2024-02-21,I was so skeptical even after I read the reviews but wanted this so much for my smaller dog. I took a chance and my dog loves it.  Has to be put together (stuff the pillows in each compartment of the bed) and it takes no more than 10 minutes to open and put together. My 40 pound goldendoodle even loves it!,Green
Cj,Better than I thought,4.0,Canada ,2024-02-22,"It's soft, taking apart for washing might be annoying but looks nice, could hold the shape a little better but my pets use it",Yellow
MIKE,MY CAT LOVES IT,5.0,Canada ,2024-02-23,CAT WAS NOT SURE OF IT ON DAY ONE BUT ON DAY TWO HE WAS ALL OVER IT AND IS ON IT EVERY DAY NOW,Green
Randi F.,Crappy couch,1.0,Canada ,2024-02-24,"Not enough padding. Doesn't even sit up like a couch would because you have to stuff it with little pads for each section(arms, bottom, back)Not enough stuffing in padsBasically flatCats sits on it and it's flat the ground.Would not recommend would not buy againVery disappointed especially considering the price,  too expensive!!",Blue
RFMN,Stubborn Cat Approved,5.0,Canada ,2024-02-25,"Like all cats she was more interested in the box. But after a quick wash on gentle cycle to get rid of all the extra fuzz it was no longer than 5 minutes before she climbed in, made dough, and went to sleep.Would recommend.",Pink
Charlie Singh,"Personally, I love it. But my cat doesnt use it lol",5.0,Canada ,2024-02-26,,Green
Coffee lover,She loves it,5.0,Canada ,2024-02-27,My old girl loves it. The arms are great to rest her face. You can take the cover off to wash. The fluff does flatten with use but easy to fluff back up.,Blue
shevon,Perfect couch,5.0,Canada ,2024-02-28,"Great size, great price and easy to assemble",White
Ariane,She loves it and it’s adorable,5.0,Canada ,2024-02-29,"I got this for my pet chihuahua she instantly started playing on it. Though i dont care, the pillow at the bottom sinks in, but overall im am very pleased !",Pink
Chloe,My cat loves this so much she doesn’t want to leave her new couch!!,5.0,Canada ,2024-03-01,My cat adores her new couch sooo much that she has spent the whole day and night sleeping on it 🤣 her new couch with her on it had to be carried upstairs because she didn’t want to get off it to sleep on a human bed. This is the bed of her dreams! I may have to order another later so she has another both up and downstairs. She is obsessed!! Update: I bought her the pink one too so she has pink and blue beds one upstairs one downstairs she loves them both!!,Blue
Lori,Cat bed,5.0,Canada ,2024-03-02,I love there new bed will take sometime for then to get use to it will order another 👍,White
Kristina H.,Exactly as shown,5.0,Canada ,2024-03-03,"Easy to put together it took her a minute to warm up to it as cats deal with all things but now that she has, she loves it. It washes really easily put together really quickly as well. Sturdy and soft.",Green
Ethan Horner,Not quite like in the picture,3.0,Canada ,2024-03-04,It was nice and soft but a bit smaller than expected. When I read it was for up to 25lb cat I thought my 2 cats could lie on it as they weight about 20 lbs combined but I dont think they can. It looks a bit firmer in the picture. As you can see by my pic the it isnt as firm looking as the ad. However Im sure we will get some use out of it but I think its overpriced. I think its worth half of the cost they charge.,Green
Domenic,"If Colby loves it, any kitty can",5.0,Canada ,2024-03-05,"Colby’s pretty stubborn with what he’ll sleep on. He has 2 fave blankies, a carpet and that’s about it. This mini couch is so soft. It seemed it could be a task to get him to be into it but once he touched it he was pretty sold. Check him out!",Green
Ryan,Happy purchase.,5.0,Canada ,2024-03-06,"All 3 of my cats plus my 29lb dog love this bed and ""fight"" over it!",Yellow
Cat,Très satisfaite,4.0,Canada ,2024-03-07,Mes chats aiment beaucoup,Blue
R Klass,Good value for price,4.0,Canada ,2024-03-08,"The interior pillows don’t fit well, so it’s a bit lumpy and uneven but my cat doesn’t seem to care. Can’t find anything similar for the price.",Pink
sara,My cat is obsessed,5.0,Canada ,2024-03-09,My cat loves it! From the moment I put it down in my apartment he has been sleeping in it. I bought it because I wanted a comfortable place for him to sit nearby when I work from home and this was perfect!The design is also so adorable.Highly recommend!,White
cindy,Bit of a mess.,3.0,Canada ,2024-03-10,"Cat likes it but honestly it looks messy. Sure doesn't look like the pic they posted but I guess as long as the cat uses it, it will do.",Blue
Anik,Divan a chat,5.0,Canada ,2024-03-11,Il est super beau un beau petit divan ma chatte va laimer,Pink
E,Super cute! Might need two,5.0,Canada ,2024-03-12,"As expected, puffed up the cushions before assembling.  Not sure how long the stuffing will last but pretty easy to add more later on if needed.  Kitties both like it, for size reference, ginger cat 15 lbs, tabby cat 10 lbs.",Green
Elika G,AMAZING,5.0,Canada ,2024-03-13,My 18 year old cat absolutely loves it!! Ran to it right away 🤍🤍🤍,White
happy!,very happy kitty,5.0,Canada ,2024-03-14,never seen my cat so eepy and happy,White
Amazon Customer,Amazing. My cat love it,5.0,Canada ,2024-03-15,"Bed was larger than expected. Incredibly soft and the cat absolutely love it. It's the cats favorite new napping place. I highly recommend this product, and so does my cat.",Green
Mandy,Cat loves it,5.0,Canada ,2024-03-16,Cat loves it,White
Lorne,Great Product,5.0,Canada ,2024-03-17,"We weren't sure that our cat would use this like many other products we have purchased but she seemed to love it so we are really happy, I would recommend this to any other cat owner if you need a comfy place for them.",Blue
Shelley Coburn,Cassie loves it,5.0,Canada ,2024-03-18,The media could not be loaded.I have 5 cats and they all take turns sleeping on it.,Blue
Donna Gustafson,Princess couch,5.0,Canada ,2024-03-19,It is exactly what I thought it would be. Pretty light pink Color and oh so soft!,Pink
Shawn Taylor,Awesome,5.0,Canada ,2024-03-20,Awesome little couch the cats are pushing one an other off cause all 4 love it need to get a couple more for sure,Yellow
Samfontaine,Great!,5.0,Canada ,2024-03-21,Cat loves it. Put it by the heater and it’s great.,Green
Jennifer W,Cats love it,5.0,Canada ,2024-03-22,"The cats love their new couch. They have trouble sharing, but I think that's between them, there should be room for them both on it. There is always someone sleeping on it.",Green
Justin,Cat Couch,5.0,Canada ,2024-03-23,"Great Product, my cat loves it",Green
David Carter,So cute,5.0,Canada ,2024-03-24,"I bought this as a gift and the person I gave it to absolutely loves it, and says their cat does too!",White
Amazon Customer,Love!,5.0,Canada ,2024-03-25,Absolutely perfect!! He hopped in instantly and hasn’t hopped out since. Absolutely perfect and super washable! A+++,White
Eileen M.,My kitty loves this!,5.0,Canada ,2024-03-26,This couch is very soft and my kitty looks very comfortable in it. My friends comment on how cool it looks.,Green
Britt,My big kitty fits on it,5.0,Canada ,2024-03-27,My cat loves this bed he sleeps on it all night!,Green
Shel,Big comfy couch,5.0,Canada ,2024-03-28,Tater gives it a solid 10/10.,Black
RoseDoe,Sits on it daily!,5.0,Canada ,2024-03-29,"Cat loves it, looks nice in Livingroom!",White
Lina Deng,Super cute,5.0,Canada ,2024-03-30,"Comfy and stylish, my kitties LOVE it!",Green
Amazon Customer,They seem chuffed,5.0,Canada ,2024-03-31,"Video Player is loading.Play VideoPlayMuteCurrent Time0:00/Duration0:31Loaded:19.37%0:00Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-0:311xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedEnglish (Automated)Audio Trackdefault, selectedFullscreenThis is a modal window.You don't need this. I don't need this. Literally no one needs a tiny couch for their cat. Still, I regret nothing",White
Mathilde,Not comfy enough for my cat,2.0,Canada ,2024-04-01,"Cushion is not comfy like other beds, but very thin. My cat never touches it. So sad.",Green
Jane,So cute！,5.0,Canada ,2024-04-02,,Green
Pierre,Best qualify for cat sofa,5.0,Canada ,2024-04-03,Mewoofun best company.,Blue
Amazon Customer,You have to build it!,2.0,Canada ,2024-04-04,Ordered and received. You have to stuff it yourself. Who knew assembly was required on a soft cat bed.,Yellow
K-ELF,Love it,5.0,Canada ,2024-04-05,Cats and dogs both love this couch.,Green
Ruby Atlas,Disappointing,1.0,Canada ,2024-04-06,This is a very flimsy and cheaply made product. There isn’t anywhere near the required amount of inner stuffing to make this cat bed sturdy and worth the amount of money I just spent on it. I’m very disappointed and will be returning. Don’t waste your time.,Blue
Zach,Perfect!,5.0,Canada ,2024-04-07,It’s amazing my cats love it !!,Green
Dani,I am obsessed with this thing,5.0,Canada ,2024-04-08,"It’s great quality, easy to “put together” and it’s hilarious. Our cats love it!",Green
Amazon Customer,Soft,5.0,Canada ,2024-04-09,They love it! Huge hit with both 2 kitties,Blue
Nicole Roux,Divan pour chien,5.0,Canada ,2024-04-10,Il est magnifique mes deux chiens l'adore,White
Belle,Cute,5.0,Canada ,2024-04-11,Bonnie approves 😎,Blue
Erica Sutthery,Dog bed,2.0,Canada ,2024-04-12,Not as fluffy and durable as it looks,White
Andrea,"“Durable zipper”, a lie.",1.0,Canada ,2024-04-13,As soon as the package got to me the zipper was super stiff and I wasn’t able to unzip it to start putting in the cushions; it naturally broke since the zipper’s material was very fragile and thin. I filed the return already. Not satisfied at all.,Blue
parveen,Cat bed green,2.0,Canada ,2024-04-14,Not as cute as the picture And  much smaller than I thought,Green
Luna,Bad quality,1.0,Canada ,2024-04-15,"The sofa is shedding hair inside, you have to vacuum it every day!",Pink
Melissa lauzon,Very cheap,2.0,Canada ,2024-04-16,Le lit ne se tient même pas tellement il manque de rembourrage. Vraiment trop cher pour cet article,White
T. Way,Total scam nothing like advertised,1.0,Canada ,2024-04-17,I would give zero stars if possible. It was just a thin pillow insert that came nothing like a couch at all. I got a refund. I totally forgot to take pics b4 I boxed it back up. Very disappointed,Blue
Dylan Burgess,Not much padding at all,1.0,Canada ,2024-04-18,"Not enough padding ,",Yellow
Sandra D.,Insatisfaites,1.0,Canada ,2024-04-19,L'article as été retournerEt aucune mention de mon remboursementImpossible de contacter le vendeur,White
Tyler Tasson,Flat and sad,1.0,Canada ,2024-04-20,I don’t know what I was expecting but this this is so sad and flat and deformed - nothing like the photo. It’s been out to fluff all day with no change. It’s basically a garbage blob of cheap fluff :(,Yellow
Amazon Customer,Very disappointing,1.0,Canada ,2024-04-21,Very disappointed once put together looks nothing like the picture - pillows are too small and little bed looks deformed because of it,White
Alison M Lobsinger,Not the best quality,3.0,Canada ,2024-04-22,"The product isn't the most amazing quality (the pillows that make up the filling are thin and not great quality or the right shape to stuff the sofa pillow case), but the fabric is very plush and my cat loved it instantly.",Black
Susan,Comfy,4.0,Canada ,2024-04-23,My cat loves his new couch. It is soft and comfortable. He naps it in all the time. Very easy to put together. It's great that the cover is washable. I would recommend this Cat sofa 🛋 😻,Black
Randi Allen,Sooo cute,5.0,Canada ,2024-04-24,"Bought it for a place for my kitties to relax instead of on the dining room chairs and softer than the floor. Bigger than I imagined so I was very happy with that. Once you open the packaging, the pillows will fluff up. And as you can see, Mr Earl is loving it",White
Elizabeth McDermott,Cat Bed Pink,5.0,Canada ,2024-04-25,The package it came in was awesome! It was wrapped tightly inside plastic. I opened it and put it together but I was confused at first because I didn't see the zipper in the front. It's so cute. My cat loves it. She's sleeping in it now and I just gave it to her like....30 mins ago. Lol,Pink
Mandy S,My dog LOVES it!,5.0,United States ,2024-04-26,"I have been redecorating a room and my clingy dog has been sad because she didn’t have anywhere designated for her. As soon as I placed this on the floor, she went right to it and got on it! She knew it was hers and let me take her picture in front of it! ❤️ Great buy! She weighs about 10-15 lbs and the length of a weenie dog!",
Ms. Glace,My cat LOVES it!!!,5.0,United States ,2024-04-27,My cat loves this bed! She took right to it and I love that she looks so darn cute on it! She uses the arms as pillows and sleeps on this couch every night. The size is great and it is so soft! The cover slips off and each section is made from a pillow insert. Easy to wash and fluff. 100% recommended. Cat approved.,Green
Tori Netzer,Biscuit factory,5.0,United States ,2024-04-28,My cats love it! They seem to think it’s very cozy and it’s aesthetically pleasing to me. They make biscuits on this little couch nonstop!,
Miguel E.,A Mi perro le encantó.,5.0,Mexico ,2024-04-29,Buen material y calidad.,White
Addie,TOO CUTE!,5.0,United States ,2024-04-30,"It’s a cute, soft, cushioned little couch. My cat really loves lying on it. I love the color. I highly recommend this cute little charming kitty couch/bed. It’s the perfect size.",
Amazon Customer,Best Cat Sofa Ever!,5.0,United States ,2024-05-01,"When I got the package, I was a little concerned on the amount of stuffing that came with the couch. I got it put together and it was purrfect. My cat and dogs fight over this couch! It’s very soft and cute!",White
Sandra Marino,Cats love it,5.0,United States ,2024-05-02,My fur babies love this couch. Will have order another so that they don't fight over it.,
Katie gross,Not really sturdy,4.0,United States ,2024-05-03,This thing is definitely bigger than I thought but it looks so cute and is wonderful it is a bit flimsy not sure what the filling is but occasionally you do have to fluff it up after a couple of uses,
Emily S.,Cats love the couch,5.0,United States ,2024-05-04,"Do cats like the couch? Yes. Do they use it individually? Yes! Do they use it as a loveseat for cuddles? Yes! When it arrives, it’s small and vacuum sealed. You will have to put the couch filling (in small cushion shapes) inside the couch shell. It’s easy to assemble, disassemble, and clean. When the cushions get worn out, I plan to just replace them with something in that general shape. Good value and the patterns/colors are super cute! I’m happy with the green and brown one.",Green
